#nii_code,mext_code,name_ja,name_en,nii_code,mext_code,name_ja,name_en,nii_code,mext_code,name_ja,name_en
80,B,大区分B,Broad Section B,89,13,中区分13:物性物理学およびその関連分野,Medium-sized Section 13:Condensed matter physics and related fields,90,13010,小区分13010:数理物理および物性基礎関連,Basic Section 13010:Mathematical physics and fundamental theory of condensed matter physics-related
80,B,大区分B,Broad Section B,89,13,中区分13:物性物理学およびその関連分野,Medium-sized Section 13:Condensed matter physics and related fields,91,13020,小区分13020:半導体、光物性および原子物理関連,"Basic Section 13020:Semiconductors, optical properties of condensed matter and atomic physics-related"
80,B,大区分B,Broad Section B,89,13,中区分13:物性物理学およびその関連分野,Medium-sized Section 13:Condensed matter physics and related fields,92,13030,小区分13030:磁性、超伝導および強相関系関連,"Basic Section 13030:Magnetism, superconductivity and strongly correlated systems-related"
80,B,大区分B,Broad Section B,89,13,中区分13:物性物理学およびその関連分野,Medium-sized Section 13:Condensed matter physics and related fields,93,13040,小区分13040:生物物理、化学物理およびソフトマターの物理関連,"Basic Section 13040:Biophysics, chemical physics and soft matter physics-related"
80,B,大区分B,Broad Section B,94,14,中区分14:プラズマ学およびその関連分野,Medium-sized Section 14:Plasma science and related fields,95,14010,小区分14010:プラズマ科学関連,Basic Section 14010:Fundamental plasma-related
80,B,大区分B,Broad Section B,94,14,中区分14:プラズマ学およびその関連分野,Medium-sized Section 14:Plasma science and related fields,96,14020,小区分14020:核融合学関連,Basic Section 14020:Nuclear fusion-related
80,B,大区分B,Broad Section B,94,14,中区分14:プラズマ学およびその関連分野,Medium-sized Section 14:Plasma science and related fields,97,14030,小区分14030:プラズマ応用科学関連,Basic Section 14030:Applied plasma science-related
80,B,大区分B,Broad Section B,94,14,中区分14:プラズマ学およびその関連分野,Medium-sized Section 14:Plasma science and related fields,98,80040,小区分80040:量子ビーム科学関連,Basic Section 80040:Quantum beam science-related
80,B,大区分B,Broad Section B,99,15,中区分15:素粒子、原子核、宇宙物理学およびその関連分野,"Medium-sized Section 15:Particle-, nuclear-, astro-physics, and related fields",100,15010,小区分15010:素粒子、原子核、宇宙線および宇宙物理に関連する理論,"Basic Section 15010:Theoretical studies related to particle-, nuclear-, cosmic ray and astro-physics"
80,B,大区分B,Broad Section B,99,15,中区分15:素粒子、原子核、宇宙物理学およびその関連分野,"Medium-sized Section 15:Particle-, nuclear-, astro-physics, and related fields",101,15020,小区分15020:素粒子、原子核、宇宙線および宇宙物理に関連する実験,"Basic Section 15020:Experimental studies related to particle-, nuclear-, cosmic ray and astro-physics"
80,B,大区分B,Broad Section B,99,15,中区分15:素粒子、原子核、宇宙物理学およびその関連分野,"Medium-sized Section 15:Particle-, nuclear-, astro-physics, and related fields",98,80040,小区分80040:量子ビーム科学関連,Basic Section 80040:Quantum beam science-related
80,B,大区分B,Broad Section B,102,16,中区分16:天文学およびその関連分野,Medium-sized Section 16:Astronomy and related fields,103,16010,小区分16010:天文学関連,Basic Section 16010:Astronomy-related
80,B,大区分B,Broad Section B,104,17,中区分17:地球惑星科学およびその関連分野,Medium-sized Section 17:Earth and planetary science and related fields,105,17010,小区分17010:宇宙惑星科学関連,Basic Section 17010:Space and planetary sciences-related
80,B,大区分B,Broad Section B,104,17,中区分17:地球惑星科学およびその関連分野,Medium-sized Section 17:Earth and planetary science and related fields,106,17020,小区分17020:大気水圏科学関連,Basic Section 17020:Atmospheric and hydrospheric sciences-related
80,B,大区分B,Broad Section B,104,17,中区分17:地球惑星科学およびその関連分野,Medium-sized Section 17:Earth and planetary science and related fields,107,17030,小区分17030:地球人間圏科学関連,Basic Section 17030:Human geosciences-related
80,B,大区分B,Broad Section B,104,17,中区分17:地球惑星科学およびその関連分野,Medium-sized Section 17:Earth and planetary science and related fields,108,17040,小区分17040:固体地球科学関連,Basic Section 17040:Solid earth sciences-related
80,B,大区分B,Broad Section B,104,17,中区分17:地球惑星科学およびその関連分野,Medium-sized Section 17:Earth and planetary science and related fields,109,17050,小区分17050:地球生命科学関連,Basic Section 17050:Biogeosciences-related
110,C,大区分C,Broad Section C,111,18,中区分18:材料力学、生産工学、設計工学およびその関連分野,"Medium-sized Section 18:Mechanics of materials, production engineering, design engineering, and related fields",112,18010,小区分18010:材料力学および機械材料関連,Basic Section 18010:Mechanics of materials and materials-related
110,C,大区分C,Broad Section C,111,18,中区分18:材料力学、生産工学、設計工学およびその関連分野,"Medium-sized Section 18:Mechanics of materials, production engineering, design engineering, and related fields",113,18020,小区分18020:加工学および生産工学関連,Basic Section 18020:Manufacturing and production engineering-related
110,C,大区分C,Broad Section C,111,18,中区分18:材料力学、生産工学、設計工学およびその関連分野,"Medium-sized Section 18:Mechanics of materials, production engineering, design engineering, and related fields",114,18030,小区分18030:設計工学関連,Basic Section 18030:Design engineering-related
110,C,大区分C,Broad Section C,111,18,中区分18:材料力学、生産工学、設計工学およびその関連分野,"Medium-sized Section 18:Mechanics of materials, production engineering, design engineering, and related fields",115,18040,小区分18040:機械要素およびトライボロジー関連,Basic Section 18040:Machine elements and tribology-related
110,C,大区分C,Broad Section C,116,19,中区分19:流体工学、熱工学およびその関連分野,"Medium-sized Section 19:Fluid engineering, thermal engineering, and related fields",117,19010,小区分19010:流体工学関連,Basic Section 19010:Fluid engineering-related
110,C,大区分C,Broad Section C,116,19,中区分19:流体工学、熱工学およびその関連分野,"Medium-sized Section 19:Fluid engineering, thermal engineering, and related fields",118,19020,小区分19020:熱工学関連,Basic Section 19020:Thermal engineering-related
