#nii_code,mext_code,jsps_code,name_ja,name_en,name_yomi
0012103,12103,12103,筑波技術大学,Tsukuba University of Technology,ツクバギジュツダイガク
0012102,12102,12102,筑波大学,University of Tsukuba,ツクバダイガク
0012612,12612,12612,電気通信大学,The University of Electro-Communications,デンキツウシンダイガク
0012602,12602,12602,東京医科歯科大学,Tokyo Medical and Dental University,トウキョウイカシカダイガク
0012614,12614,12614,東京海洋大学,Tokyo University of Marine Science and Technology,トウキョウカイヨウダイガク
0012603,12603,12603,東京外国語大学,Tokyo University of Foreign Studies,トウキョウガイコクゴダイガク
0012604,12604,12604,東京学芸大学,Tokyo Gakugei University,トウキョウガクゲイダイガク
0112606,12606,12606,東京藝術大学,Tokyo National University of Fine Arts and Music,トウキョウゲイジュツダイガク
0012608,12608,12608,東京工業大学,Tokyo Institute of Technology,トウキョウコウギョウダイガク
0012601,12601,12601,東京大学,The University of Tokyo,トウキョウダイガク
0012605,12605,12605,東京農工大学,Tokyo University of Agriculture and Technology,トウキョウノウコウダイガク
0011301,11301,11301,東北大学,Tohoku University,トウホクダイガク
0016101,16101,16101,徳島大学,The University of Tokushima,トクシマダイガク
0015101,15101,15101,鳥取大学,Tottori University,トットリダイガク
0013201,13201,13201,富山大学,University of Toyama,トヤマダイガク
0013904,13904,13904,豊橋技術科学大学,Toyohashi University of Technology,トヨハシギジュツカガクダイガク
0013102,13102,13102,長岡技術科学大学,Nagaoka University of Technology,ナガオカギジュツカガクダイガク
0017301,17301,17301,長崎大学,Nagasaki University,ナガサキダイガク
0013903,13903,13903,名古屋工業大学,Nagoya Institute of Technology,ナゴヤコウギョウダイガク
0013901,13901,13901,名古屋大学,Nagoya University,ナゴヤダイガク
0014601,14601,14601,奈良教育大学,Nara University of Education,ナラキョウイクダイガク
0014602,14602,14602,奈良女子大学,Nara Women's University,ナラジョシダイガク
0014603,14603,14603,奈良先端科学技術大学院大学,Nara Institute of Science and Technology,ナラセンタンカガクギジュツダイガクインダイガク
0016102,16102,16102,鳴門教育大学,Naruto University of Education,ナルトキョウイクダイガク
0013101,13101,13101,新潟大学,Niigata University,ニイガタダイガク
0013802,13802,13802,浜松医科大学,Hamamatsu University School of Medicine,ハママツイカダイガク
0012613,12613,12613,一橋大学,Hitotsubashi University,ヒトツバシダイガク
0014503,14503,14503,兵庫教育大学,Hyogo University of Teacher Education,ヒョウゴキョウイクダイガク
0011101,11101,11101,弘前大学,Hirosaki University,ヒロサキダイガク
0015401,15401,15401,広島大学,Hiroshima University,ヒロシマダイガク
0013401,13401,13401,福井大学,University of Fukui,フクイダイガク
0017101,17101,17101,福岡教育大学,Fukuoka University of Education,フクオカキョウイクダイガク
0011601,11601,11601,福島大学,Fukushima University,フクシマダイガク
0013302,13302,13302,北陸先端科学技術大学院大学,Japan Advanced Institute of Science and Technology,ホクリクセンタンカガクギジュツダイガクインダイガク
0010102,10102,10102,北海道教育大学,Hokkaido University of Education,ホッカイドウキョウイクダイガク
0010101,10101,10101,北海道大学,Hokkaido University,ホッカイドウダイガク
0014101,14101,14101,三重大学,Mie University,ミエダイガク
0011302,11302,11302,宮城教育大学,Miyagi University of Education,ミヤギキョウイクダイガク
0017601,17601,17601,宮崎大学,University of Miyazaki,ミヤザキダイガク
0010103,10103,10103,室蘭工業大学,Muroran Institute of Technology,ムロランコウギョウダイガク
0011501,11501,11501,山形大学,Yamagata University,ヤマガタダイガク
0015501,15501,15501,山口大学,Yamaguchi University,ヤマグチダイガク
0013501,13501,13501,山梨大学,University of Yamanashi,ヤマナシダイガク
0012701,12701,12701,横浜国立大学,Yokohama National University,ヨコハマコクリツダイガク
0018001,18001,18001,琉球大学,University of the Ryukyus,リュウキュウダイガク
0014701,14701,14701,和歌山大学,Wakayama University,ワカヤマダイガク
382911,23902,23902,愛知県立芸術大学,Aichi University of the Arts,アイチケンリツゲイジュツダイガク
0023901,23901,23901,愛知県立大学,Aichi Prefectural University,アイチケンリツダイガク
0021602,21602,21602,会津大学,The University of Aizu,アイヅダイガク
0021102,21102,21102,青森県立保健大学,Aomori University of Health and Welfare,アオモリケンリツホケンダイガク
0021101,21101,21101,青森公立大学,Aomori Public College,アオモリコウリツダイガク
0021401,21401,21401,秋田県立大学,Akita Prefectural University,アキタケンリツダイガク
0021403,21403,21403,秋田公立美術大学,Akita University of Art,アキタコウリツビジュツダイガク
0023302,23302,23302,石川県立看護大学,Ishikawa Prefectural Nursing University,イシカワケンリツカンゴダイガク
0023303,23303,23303,石川県立大学,Ishikawa Prefectural University,イシカワケンリツダイガク
0022101,22101,22101,茨城県立医療大学,Ibaraki Prefectural University of Health Science,イバラキケンリツイリョウダイガク
0021201,21201,21201,岩手県立大学,Iwate Prefectural University,イワテケンリツダイガク
0026301,26301,26301,愛媛県立医療技術大学,Ehime Prefectural University of Health Science,エヒメケンリツイリョウギジュツダイガク
0027501,27501,27501,大分県立看護科学大学,Oita University of Nursing and Health Sciences,オオイタケンリツカンゴカガクダイガク
0024402,24402,24402,大阪市立大学,Osaka City University,オオサカシリツダイガク
0024403,24403,24403,大阪府立大学,Osaka Prefecture University,オオサカフリツダイガク
0025301,25301,25301,岡山県立大学,Okayama Prefectural University,オカヤマケンリツダイガク
0028002,28002,28002,沖縄県立看護大学,Okinawa Prefectural College of Nursing,オキナワケンリツカンゴダイガク
0028001,28001,28001,沖縄県立芸術大学,Okinawa Prefectural University of Arts,オキナワケンリツゲイジュツダイガク
0125405,25405,25405,尾道市立大学,Onomichi City University,オノミチシリツダイガク
0026201,26201,26201,香川県立保健医療大学,Kagawa Prefectural College of Health Sciences,カガワケンリツホケンイリョウダイガク
0022702,22702,22702,神奈川県立保健福祉大学,Kanagawa University of Human Services,カナガワケンリツホケンフクシダイガク
0023301,23301,23301,金沢美術工芸大学,Kanazawa College of Art,カナザワビジュツコウゲイダイガク
