Rank	Organisms	Nucleotides	Entries
623	Cucumis melo	797035955	135308
624	Lolium perenne	789683851	1023637
625	activated carbon metagenome	783911762	139262
626	Seriola dumerili	780481848	80007
627	Human immunodeficiency virus 1	780315049	730116
628	Caenorhabditis elegans	775467301	462899
629	Oncopeltus fasciatus	774230488	324590
630	Ziziphus jujuba	771689058	69430
631	Saccoglossus kowalevskii	768344649	338803
632	Arabis alpina	765246772	121747
633	Burkholderia cepacia	762358065	10929
634	Trifolium pratense	761001679	491027
635	[no name:7690]	760654621	150862
636	Quercus lobata	759277661	40214
637	Alloteropsis semialata	757753552	684261
638	Cynara cardunculus var. scolymus	752810609	50215
639	Leuciscus waleckii	752735663	5068
640	Acanthaster planci	751143571	40166
641	Stegastes partitus	749864059	42333
642	Lotus japonicus	749606722	348636
643	Sebastes rubrivinctus	749544734	136153
644	Rhizophagus irregularis DAOM 197198w	746004084	115107
645	Solanum habrochaites	745214627	70321
646	Catharanthus roseus	741318660	255397
647	Juglans regia	740970461	161156
648	Ruellia speciosa	740043126	794300
649	Rosa multiflora	739989688	83289
650	Amborella trichopoda	739635121	144084
651	Trichobilharzia regenti	737726340	202231
652	Bacillus wiedmannii	735475731	17545
653	Plodia interpunctella	732375160	41364
654	Cronobacter sakazakii	729969323	27481
655	Calycopis cecrops	728809401	60146
656	Clupea harengus	727129973	74689
657	Enterobacter hormaechei subsp. steigerwaltii	724909242	15911
658	Citrus sinensis	719993901	293045
659	Petromyzon marinus	718219832	197773
660	Corchorus olitorius	715573249	79223
661	Durio zibethinus	715301011	738
662	Poecilia formosa	714542949	31405
663	Ixodes ricinus	714213890	490388
664	Jatropha curcas	712282534	334360
665	Rosa x damascena	711743774	307895
666	Asymmetron lucayanum	711050079	478092
667	Fusarium oxysporum f. sp. lycopersici	710571791	38009
